               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018529,            0.042906,            0.011749,             0.85103,             0.82183,             0.89804,             0.62222,            0.023492,            0.038418,           0.0065283,           0.0033218,           0.0033218,            0.070104
                   1,            0.019702,            0.042556,            0.011421,             0.85472,             0.78819,             0.90064,             0.57178,            0.025571,            0.039776,           0.0078977,            0.006561,            0.006561,             0.04001
                   2,            0.022976,            0.042712,            0.013299,             0.79131,              0.7226,               0.822,             0.50523,             0.02739,            0.039032,            0.013826,           0.0097059,           0.0097059,           0.0098216
                   3,            0.024839,            0.043778,            0.016284,             0.77971,             0.64284,             0.73346,             0.43559,            0.030178,            0.040929,            0.018117,           0.0095757,           0.0095757,           0.0095757
                   4,            0.024249,            0.045359,            0.016515,             0.78187,             0.75771,             0.82909,             0.49923,            0.027068,            0.040199,            0.012355,           0.0095757,           0.0095757,           0.0095757
                   5,            0.024458,            0.045417,            0.016964,             0.76764,             0.68598,             0.79183,             0.46221,            0.028716,            0.039303,             0.01339,           0.0094343,           0.0094343,           0.0094343
                   6,            0.024457,            0.044853,            0.016235,              0.7713,             0.64263,             0.76183,             0.46083,            0.029338,            0.040696,            0.017303,           0.0092929,           0.0092929,           0.0092929
                   7,            0.023919,            0.043781,            0.015606,             0.78805,              0.7326,             0.82699,             0.49239,            0.027448,            0.039298,            0.011587,           0.0091514,           0.0091514,           0.0091514
                   8,            0.024046,            0.043944,            0.014987,             0.73217,             0.71078,             0.79278,             0.47202,            0.027525,            0.040163,            0.017814,             0.00901,             0.00901,             0.00901
                   9,            0.023335,            0.044337,            0.014296,             0.81706,             0.76466,             0.85096,             0.52173,             0.02622,            0.038622,            0.013106,           0.0088686,           0.0088686,           0.0088686
                  10,            0.023136,             0.04394,             0.01448,             0.77872,             0.73506,             0.82399,             0.49767,            0.027582,            0.039319,            0.012612,           0.0087271,           0.0087271,           0.0087271
                  11,             0.02331,            0.042673,            0.012898,             0.80565,             0.79944,             0.86625,              0.5309,            0.027314,            0.041236,             0.01322,           0.0085857,           0.0085857,           0.0085857
