               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021222,            0.043046,            0.059328,             0.19049,             0.28463,             0.16145,              0.1136,            0.022902,            0.034555,            0.057126,           0.0033203,           0.0033203,            0.070117
                   1,            0.023329,            0.043134,            0.059792,             0.42536,             0.21266,             0.14785,            0.087221,            0.028698,            0.036004,            0.057107,           0.0065219,           0.0065219,            0.039985
                   2,            0.028606,            0.042964,            0.059885,             0.41695,             0.14525,              0.1337,            0.076627,            0.031706,            0.037001,            0.058694,           0.0095915,           0.0095915,           0.0097217
                   3,            0.029474,             0.04556,            0.059992,             0.50467,              0.1656,             0.13885,            0.071725,            0.034411,            0.036704,            0.057943,            0.009406,            0.009406,            0.009406
                   4,            0.030068,            0.045018,            0.059263,             0.48069,             0.16491,             0.13934,            0.070761,            0.034483,            0.035844,            0.057326,            0.009406,            0.009406,            0.009406
                   5,            0.028271,             0.04424,            0.059463,              0.4142,             0.16011,             0.14681,            0.079184,            0.030502,            0.037986,            0.056642,            0.009208,            0.009208,            0.009208
                   6,            0.027463,              0.0454,            0.058141,             0.49385,             0.15016,             0.15313,            0.095706,            0.027501,            0.037525,            0.057068,             0.00901,             0.00901,             0.00901
                   7,            0.025629,            0.045257,            0.057817,             0.42694,             0.16639,              0.1516,             0.08827,            0.029228,            0.038318,            0.056657,            0.008812,            0.008812,            0.008812
                   8,            0.026449,            0.043888,            0.057969,             0.28343,             0.16131,             0.15166,            0.087903,            0.031954,            0.038066,            0.055602,            0.008614,            0.008614,            0.008614
                   9,            0.026137,            0.042872,            0.056846,             0.43632,             0.13873,             0.13739,            0.078125,            0.034102,            0.040495,            0.056328,            0.008416,            0.008416,            0.008416
                  10,            0.025004,            0.044585,            0.056838,             0.52548,             0.22181,             0.17984,              0.1099,            0.028862,            0.036126,            0.054319,            0.008218,            0.008218,            0.008218
                  11,            0.024723,            0.043674,            0.056048,             0.47712,              0.1901,              0.2002,             0.12561,            0.027382,            0.037056,            0.054286,             0.00802,             0.00802,             0.00802
                  12,            0.024202,            0.042706,            0.056308,             0.49169,             0.22522,             0.21852,              0.1308,            0.026551,            0.036249,            0.053027,            0.007822,            0.007822,            0.007822
                  13,            0.023679,            0.042541,            0.054856,              0.4205,             0.24452,             0.20991,             0.13773,            0.025795,            0.035844,            0.054256,            0.007624,            0.007624,            0.007624
                  14,            0.023229,            0.042374,              0.0548,              0.5197,             0.27089,              0.2437,             0.15981,            0.025043,             0.03561,            0.051339,            0.007426,            0.007426,            0.007426
                  15,            0.022596,            0.041929,            0.054284,              0.5698,             0.27867,             0.24912,             0.15733,            0.024815,            0.034897,             0.05171,            0.007228,            0.007228,            0.007228
                  16,            0.023695,            0.041568,            0.053656,             0.52414,             0.27366,             0.25468,             0.16351,            0.026341,            0.035904,            0.051316,             0.00703,             0.00703,             0.00703
                  17,            0.022046,            0.042405,            0.053547,              0.5267,             0.29726,              0.2587,             0.16551,             0.02501,            0.035101,            0.050486,            0.006832,            0.006832,            0.006832
                  18,            0.022731,            0.041148,            0.052707,             0.54476,              0.2716,             0.25369,             0.16435,            0.024895,            0.036311,             0.05188,            0.006634,            0.006634,            0.006634
                  19,            0.021948,              0.0415,            0.051987,             0.53013,             0.26419,             0.24715,             0.15516,            0.025212,            0.036705,            0.049419,            0.006436,            0.006436,            0.006436
                  20,            0.021682,            0.040977,            0.051589,             0.64517,             0.24496,             0.28203,             0.19026,            0.025106,            0.034926,            0.048751,            0.006238,            0.006238,            0.006238
                  21,            0.022038,            0.040659,            0.050871,             0.63644,             0.26274,             0.29074,             0.18875,            0.026137,            0.034443,            0.047554,             0.00604,             0.00604,             0.00604
                  22,            0.021531,            0.040172,            0.049849,             0.57714,             0.34353,             0.32376,             0.22157,            0.024054,            0.034457,            0.046369,            0.005842,            0.005842,            0.005842
                  23,            0.021087,            0.040734,            0.049371,             0.60691,              0.3062,             0.32683,             0.22246,            0.024132,            0.034742,            0.046162,            0.005644,            0.005644,            0.005644
                  24,            0.022028,            0.039895,            0.048816,             0.61779,             0.34591,             0.35523,             0.22201,            0.026081,            0.034505,            0.044818,            0.005446,            0.005446,            0.005446
                  25,            0.021294,            0.039542,            0.047967,             0.55163,             0.35148,              0.3593,             0.23869,            0.024342,            0.034371,            0.045447,            0.005248,            0.005248,            0.005248
                  26,            0.021259,            0.039037,            0.046862,             0.55146,             0.37913,             0.37957,             0.24084,            0.025395,            0.034261,             0.04358,             0.00505,             0.00505,             0.00505
                  27,            0.021106,            0.039436,            0.045936,             0.56064,             0.40328,             0.41274,               0.286,            0.023653,            0.034311,              0.0424,            0.004852,            0.004852,            0.004852
                  28,            0.021433,            0.039091,            0.043816,             0.50074,              0.4047,             0.39094,             0.25815,            0.024376,             0.03543,            0.042331,            0.004654,            0.004654,            0.004654
                  29,            0.021188,            0.039067,             0.04346,              0.5387,             0.43184,             0.44333,              0.3028,            0.023437,            0.034297,            0.040112,            0.004456,            0.004456,            0.004456
                  30,            0.020625,             0.03873,            0.041755,             0.53501,             0.41144,             0.45446,             0.29982,             0.02448,            0.035026,             0.04021,            0.004258,            0.004258,            0.004258
                  31,            0.020922,            0.039188,            0.040794,             0.56891,             0.48154,             0.49925,              0.3437,            0.023333,            0.033159,            0.037188,             0.00406,             0.00406,             0.00406
