               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020593,            0.045247,            0.021576,             0.84287,             0.67624,             0.77133,             0.50387,            0.024835,            0.037511,            0.012916,           0.0033218,           0.0033218,            0.070104
                   1,             0.02264,             0.04469,            0.021669,             0.77836,             0.57341,             0.67262,              0.4026,            0.029969,            0.040561,            0.027091,            0.006561,            0.006561,             0.04001
                   2,            0.026563,            0.046308,            0.024311,             0.80254,             0.55612,             0.66826,             0.40411,            0.028585,            0.039934,            0.020544,           0.0097059,           0.0097059,           0.0098216
                   3,            0.028383,            0.046551,             0.02787,             0.77634,             0.52778,             0.62549,               0.364,            0.029419,             0.04005,             0.02516,           0.0095757,           0.0095757,           0.0095757
                   4,            0.027348,             0.04839,            0.029254,             0.75324,             0.57097,             0.62432,             0.32999,            0.032133,            0.042338,            0.020356,           0.0095757,           0.0095757,           0.0095757
                   5,             0.02863,            0.047914,            0.026536,             0.79849,             0.55827,             0.67377,             0.38781,            0.029301,            0.041281,            0.019898,           0.0094343,           0.0094343,           0.0094343
                   6,            0.027406,            0.047722,            0.025429,             0.73191,                0.51,             0.57767,             0.31368,            0.031455,            0.041919,             0.02724,           0.0092929,           0.0092929,           0.0092929
                   7,            0.026942,            0.047144,            0.024503,              0.7451,             0.51142,              0.5971,             0.32652,             0.03199,            0.041799,            0.024605,           0.0091514,           0.0091514,           0.0091514
                   8,            0.026568,            0.046626,            0.023801,             0.75408,             0.53492,             0.62083,             0.34999,            0.032301,            0.043753,            0.023642,             0.00901,             0.00901,             0.00901
                   9,            0.026035,            0.046499,            0.023633,             0.78685,             0.53369,             0.61114,             0.35917,            0.029076,            0.040794,            0.022261,           0.0088686,           0.0088686,           0.0088686
                  10,            0.026397,            0.046659,            0.022763,             0.78791,             0.58885,             0.66654,             0.38399,            0.028962,            0.040171,            0.018372,           0.0087271,           0.0087271,           0.0087271
                  11,            0.026327,            0.045857,            0.022368,             0.77818,             0.58767,             0.66447,             0.38579,            0.029237,            0.040692,             0.01932,           0.0085857,           0.0085857,           0.0085857
                  12,            0.025826,            0.047001,            0.021174,             0.76156,             0.59836,             0.67676,             0.41341,            0.027261,            0.041202,            0.018353,           0.0084443,           0.0084443,           0.0084443
                  13,            0.025228,            0.046389,            0.020511,             0.71457,             0.57899,             0.66079,             0.36511,            0.030226,            0.042274,            0.018707,           0.0083029,           0.0083029,           0.0083029
